group,crop,annotator,organelle,mean,median,std
group1,10,a1,mito-lumen,52.78207133514534,49.31531202375181,26.367622730059868
group1,10,a1,mito,nan,nan,nan
group1,10,refinements,mito-mem,36.90669169266359,39.191835884530846,7.453129593850692
group1,10,refinements,mito-lumen,54.02949310114303,51.22499389946279,23.827470834910795
group1,10,refinements,mito,nan,nan,nan
group1,10,f1,mito-mem,32.97596641382839,32.984845004941285,7.258400961730482
group1,10,f1,mito-lumen,53.277440346397704,49.31531202375181,25.62534856845186
group1,10,f1,mito,140.15890225749376,126.49110640673517,73.32444188892994
group1,10,b2,mito-mem,30.07621844608008,29.93325909419153,6.696629260318824
group1,10,b2,mito-lumen,63.42896114680949,60.92618484691127,27.37010415557529
group1,10,b2,mito,nan,nan,nan
group1,10,c1,mito-mem,29.451590315359716,29.93325909419153,3.998057395947482
group1,10,c1,mito-lumen,61.19132741934165,57.1314274283428,26.119739479993765
group1,10,c1,mito,nan,nan,nan
group1,10,b1,mito-mem,29.724185040024654,29.93325909419153,5.202216901706188
group1,10,b1,mito-lumen,61.06063359007323,58.240879114244144,26.941059047868517
group1,10,b1,mito,nan,nan,nan
group2,01,e1,er-mem,9.145269681584496,8.94427190999916,1.79048781942505
group2,01,e1,er-lum,13.491351853255185,12.649110640673518,4.074796109931233
group2,01,e1,eres-mem,14.151575191554697,13.856406460551018,3.0638509156588802
group2,01,e1,eres-lum,23.08372573412105,24.0,10.046108450439498
group2,01,e1,er,29.64556717168263,28.844410203711913,7.744905192529704
group2,01,e1,eres,40.311966479235295,51.22499389946279,22.655954044179143
group2,01,gt,er-mem,7.216021872266429,8.0,1.1624572018485375
group2,01,gt,er-lum,16.205011144756817,16.492422502470642,4.236918140927884
group2,01,gt,eres-mem,7.238541439175636,8.0,1.1071972724855108
group2,01,gt,eres-lum,45.83886687773174,51.1467876193388,11.397780243393859
group2,01,gt,er,28.21841658112385,28.284271247461902,6.56281238821568
group2,01,gt,eres,52.19332127128339,64.4980619863884,23.253265524001993
group2,01,g1,er-mem,9.750274688492745,8.94427190999916,1.9331795590534988
group2,01,g1,er-lum,11.031224813394104,11.313708498984761,3.4246588284931296
group2,01,g1,eres-mem,17.595791152965568,16.97056274847714,5.146950511302424
group2,01,g1,eres-lum,25.71729699802512,26.072747636287296,10.073617918727674
group2,01,g1,er,28.659225159033312,28.0,8.649322981864794
group2,01,g1,eres,48.75857152296395,56.071337695236394,18.24707565681838
group2,01,predictions,er-mem,6.4817181133799675,5.656854249492381,3.1895495895729615
