group,crop,annotator,organelle,all mean,all std,all min_max normalized,all mean_std normalized,disagreement mean,disagreement std,disagreement min_max normalized,disagreement mean_std normalized
group6,06,predictions,er-mem,224.73005691704267,2.1771670822154308,0.5424157557600922,-1.1080077344554609,224.7983253898278,2.288043874632571,0.5447698410285446,-1.0848673941883964
group6,06,i1,er-mem,226.22627119456038,2.384842865017579,0.5940093515365649,-0.6008496557449952,226.5974401152509,2.4009517033472263,0.6068082798362376,-0.4750379190686572
group6,06,d1,er-mem,225.9858103370324,2.3011204857235077,0.5857175978287036,-0.6823564748827486,226.26288939913425,2.3255269056404475,0.5952720482460087,-0.5884375176197522
group6,06,refinements,er-mem,224.66801208570703,2.090649089707354,0.540276278817484,-1.1290385038625692,224.67946876517235,2.2080860886345532,0.5406713367300808,-1.12515513793475
group6,06,f1,er-mem,226.18444971272422,2.3544778997361178,0.5925672314732489,-0.6150255012074801,226.59640124058208,2.362038361798959,0.6067724565717959,-0.47539005692014713
group6,06,gt,er-lum,229.49887061232724,2.347468767093031,0.706857607321629,0.5084334583402352,227.94968307888539,2.306640931281344,0.6534373475477719,-0.01668048077152146
group6,06,predictions,er-lum,228.08450125439643,2.7987024419902156,0.6580862501516009,0.029017603984671986,226.93546572972988,2.4736416298098014,0.618464335507927,-0.36046046597918013
group6,06,i1,er-lum,229.69675743583016,2.3532791859828377,0.7136812908906953,0.5755093462781335,228.41262080333132,2.7578275693673087,0.6694007173562525,0.14023728857506682
group6,06,d1,er-lum,229.21871898856398,2.4799024097479996,0.6971972065022062,0.41347302293314137,227.8933880210184,2.462985967139513,0.6514961386558072,-0.035762302017123056
group6,06,refinements,er-lum,228.035282021377,2.7740649962437067,0.6563890352198961,0.012334210416769171,226.92260063019523,2.4417443052139154,0.6180207113860425,-0.3648212311853757
group6,06,f1,er-lum,229.12481162593136,2.540750683846,0.6939590215838399,0.38164210250606156,227.41368672888922,2.395683971823441,0.6349547147892833,-0.19836226468743623
group6,06,gt,eres-mem,225.71956173633185,2.1423103171731537,0.5765366115976501,-0.7726043296316435,225.76288977578767,2.1295360561443073,0.5780306819237128,-0.7579178201023007
group6,06,predictions,eres-mem,nan,nan,nan,nan,nan,nan,nan,nan
group6,06,i1,eres-mem,225.87788686683533,2.3550384614583963,0.5819960988563906,-0.7189383071880275,225.89659505999663,2.3516405656757513,0.582641208965401,-0.7125969619392899
group6,06,d1,eres-mem,226.70428183266185,2.5629046134199096,0.6104924769883396,-0.4388227586184009,226.7603800814825,2.545430710256856,0.6124268993614659,-0.4198076479364544
group6,06,refinements,eres-mem,nan,nan,nan,nan,nan,nan,nan,nan
group6,06,f1,eres-mem,225.9682416636656,2.229628512060478,0.5851117815057102,-0.6883115675216088,226.00697918095975,2.2180256300736167,0.5864475579641292,-0.6751810653334401
group6,06,gt,eres-lum,226.7767319028531,2.6200698148167585,0.6129907552707966,-0.41426502049709846,226.53468149860552,2.593419150074613,0.604644189607087,-0.4963106337584252
group6,06,predictions,eres-lum,225.55137395459977,2.0034607082365627,0.5707370329172334,-0.8296134048206153,225.55137395459977,2.0034607082365627,0.5707370329172334,-0.8296134048206153
group6,06,i1,eres-lum,226.96798259993443,2.539086962609555,0.6195856068942907,-0.3494385196801682,226.7863640775414,2.52530179808827,0.6133228992255657,-0.4110000902781264
group6,06,d1,eres-lum,227.96828230287267,2.4187516195988015,0.6540787000990574,-0.010376071807757212,227.84674608184886,2.467074132062192,0.6498877959258229,-0.051572093844402124
group6,06,refinements,eres-lum,225.43166666666667,1.9977202284381843,0.566609195402299,-0.8701894901233911,225.43166666666667,1.9977202284381843,0.566609195402299,-0.8701894901233911
group6,06,f1,eres-lum,226.5569565074352,2.640638167523881,0.605412293359834,-0.48876027760218377,226.3257327507737,2.6010764158263724,0.5974390603715073,-0.5671360810834893
group6,06,gt,golgi-mem,225.1445414542948,2.3102925020210514,0.5567083260101654,-0.9675136991246861,225.5633784391125,2.3645061035322086,0.5711509806590521,-0.8255443544226381
group6,06,predictions,golgi-mem,225.01519545344354,2.273912448194278,0.55224811908426,-1.0113569308504502,225.22442680840538,2.3147711165612277,0.5594629933932891,-0.9404356907694617
group6,06,i1,golgi-mem,225.3206101623446,2.4021018810208448,0.5627796607705032,-0.9078332983710499,225.66527158486338,2.45355413598976,0.574664537409082,-0.7910065660795762
group6,06,d1,golgi-mem,225.10881286719166,2.2815319368184106,0.5554763057652297,-0.9796242917467056,225.39144970241762,2.319896586616566,0.565222403531642,-0.8838214669241716
group6,06,refinements,golgi-mem,224.95782621001982,2.2912792522917735,0.5502698693110282,-1.0308028589564955,225.18151473879146,2.344076342059105,0.5579832668548781,-0.9549812028033338
group6,06,f1,golgi-mem,225.39496139508034,2.4226926210820765,0.5653434963820808,-0.8826311405580813,225.84071470600597,2.4689207315013695,0.5807143002071024,-0.7315382148022027
group6,06,gt,golgi-lum,229.02034572915795,2.984320224197695,0.6903567492813087,0.34623225226304455,227.12680646950767,2.8584723502452527,0.6250622920519886,-0.29560344421239476
group6,06,predictions,golgi-lum,229.32593053982635,2.6723639002028383,0.7008941565457361,0.4498135425838416,227.824088867873,2.4739091638270696,0.649106512685276,-0.059252002585811585
group6,06,i1,golgi-lum,229.14736990055056,3.004641021546268,0.694736893122433,0.38928847467801897,226.38205564967802,2.7469349537985743,0.5993812292992422,-0.5480448228159203
group6,06,d1,golgi-lum,228.66182695732047,3.0962420340915364,0.6779940330110508,0.22470842092493548,226.4392062037095,2.627474464173575,0.6013519380589479,-0.5286730218544139
group6,06,refinements,golgi-lum,229.3526158302246,2.6744927961326574,0.7018143389732623,0.4588588115747689,227.7862604166106,2.479420007176485,0.6478020833313995,-0.07207436696978667
group6,06,f1,golgi-lum,228.86385437427768,3.0549537158119136,0.6849604956647476,0.2931878079822769,226.76803306817374,2.8103783400273885,0.6126907954542667,-0.41721358498368105
group6,06,gt,endo-mem,224.94448010045693,2.1014921969807774,0.5498096586364458,-1.0353266677356787,225.25727885552135,2.139166608598597,0.5605958226041845,-0.9293001326161998
group6,06,predictions,endo-mem,224.56352913141905,1.9851760967850978,0.5366734183247946,-1.1644541359354041,224.70948022416107,2.045740204720808,0.5417062146262438,-1.1149824279768747
