group,crop,annotator,organelle,mean,median,std
group2,10,gt,golgi-mem,5.742329715026281,5.656854249492381,1.1840716508433293
group2,10,gt,golgi-lum,25.993438491067227,4.0,26.910602238538317
group2,10,gt,er,43.75432400307322,45.95650117230423,12.135859726947286
group2,10,gt,golgi,20.782117878393258,4.0,28.761970685802375
group3,01,gt,pm,13.379796408964848,12.649110640673518,1.7893650044762908
group3,01,g1,pm,15.8773470570056,16.0,1.6445720108685353
group3,01,h1,pm,21.589792606730835,20.396078054371138,2.265044992870303
group3,01,predictions,pm,15.070380237685347,16.0,3.366464643296476
group3,01,i1,pm,18.3388994953108,18.33030277982336,2.2487640493799788
group3,01,a1,pm,17.874253257064748,17.88854381999832,2.73191790251222
group3,01,d1,pm,13.271468618316495,12.649110640673518,1.7221559410966312
group3,01,refinements,pm,15.094165360139419,16.0,3.3389070514927486
group3,01,b1,pm,17.821151024320997,17.88854381999832,2.8328709612392746
group3,02,gt,pm,13.414612052498924,13.2664991614216,1.7236397894060753
group3,02,g1,pm,17.966976839162776,17.88854381999832,2.300036441610627
group3,02,predictions,pm,16.599532705125423,16.0,6.878485183760487
group3,02,a1,pm,15.780260827884758,16.0,2.692638398256209
group3,02,refinements,pm,16.61022840351687,16.0,6.8715971603854
group3,02,f1,pm,21.680472515942068,21.908902300206645,3.2146450045234576
group3,02,b1,pm,19.186044378994985,20.0,3.593082907042391
group3,03,gt,pm,26.002434963800223,25.298221281347036,5.556571498013571
group3,04,gt,pm,15.308725539036473,16.0,3.5091789060784246
group3,04,gt,vesicle-mem,7.166431315890766,6.928203230275509,1.0007473669718494
group3,04,gt,vesicle-lum,20.25756597581536,20.0,1.125781671485004
group3,04,gt,vesicle,33.34863313749746,33.58381047431329,1.3669922679395665
group3,04,g1,pm,13.869416749210123,13.2664991614216,1.8082455655113236
group3,04,g1,vesicle-mem,7.607354909026308,8.0,0.86548028533686
group3,04,g1,vesicle-lum,25.13655771932832,24.64911064067352,1.6793250696463402
group3,04,g1,vesicle,40.85134610722766,41.160040367601695,1.7797531366725468
group3,04,predictions,pm,17.86463363337056,16.97056274847714,6.7926921330891235
group3,04,predictions,vesicle-mem,nan,nan,nan
group3,04,predictions,vesicle-lum,nan,nan,nan
group3,04,predictions,vesicle,nan,nan,nan
group3,04,i1,pm,18.015530690798975,16.492422502470642,3.5182517204203045
group3,04,i1,vesicle-mem,9.502315861963593,8.94427190999916,1.1179265797557822
group3,04,i1,vesicle-lum,21.63832928968709,21.540659228538015,1.0564274155866689
group3,04,i1,vesicle,38.66695213733654,38.66695213733654,0.9310276091101244
group3,04,a1,pm,14.545074892407715,14.422205101855956,2.8166393746277
group3,04,a1,vesicle-mem,7.388367109037137,8.0,0.9515568164234749
group3,04,a1,vesicle-lum,16.06297745380869,16.97056274847714,3.1962555336019043
group3,04,a1,vesicle,29.37721437680034,30.331215082269317,2.3559932153858485
group3,04,refinements,pm,17.86720102436367,16.97056274847714,6.7906775431367015
group3,04,refinements,vesicle-mem,nan,nan,nan
group3,04,refinements,vesicle-lum,nan,nan,nan
group3,04,refinements,vesicle,nan,nan,nan
group3,05,gt,pm,17.709466210219468,17.435595774162696,4.144607267915637
group3,05,gt,vesicle-mem,8.711680337612258,8.94427190999916,1.3841446689167802
group3,05,gt,vesicle-lum,16.658360385922315,16.97056274847714,2.272816736870974
group3,05,gt,vesicle,nan,nan,nan
group3,05,f1,pm,27.096024519032934,28.0,3.8303004281539037
group3,05,f1,vesicle-mem,11.403737874311364,12.0,0.9919116430351838
group3,05,f1,vesicle-lum,13.90079954086481,13.844352131638779,1.843732917767953
group3,05,f1,vesicle,nan,nan,nan
group3,06,gt,pm,23.481338267687534,24.0,3.0688762808445467
group3,06,gt,endo-mem,14.27650202977047,13.856406460551018,2.0583617553187734
group3,06,gt,endo-lum,nan,nan,nan
group3,06,gt,endo,8.0,8.0,0.0
group3,07,gt,endo-mem,14.410668199964086,14.422205101855956,2.2878880825913677
group3,07,gt,endo-lum,65.31296061062406,54.405882034941776,40.79791965312745
group3,07,gt,vesicle-mem,10.093186145561596,9.797958971132712,1.5617964534220652
group3,07,gt,vesicle-lum,12.489467518502545,6.928203230275509,14.239388647553556
group3,07,gt,vesicle,21.758294592865603,11.313708498984761,24.433746928359046
group3,07,gt,endo,110.88920390165114,101.66612021711067,44.97571819647565
group3,07,g1,endo-mem,18.743545138818167,19.595917942265423,3.267385259937405
group3,07,g1,endo-lum,59.06619134692217,52.61178575186362,39.04744445572994
group3,07,g1,vesicle-mem,12.396955161639545,12.0,2.406667964618735
group3,07,g1,vesicle-lum,11.164718410667497,6.928203230275509,10.58483433894532
group3,07,g1,vesicle,21.123311938944884,6.928203230275509,23.063803373757803
group3,07,g1,endo,101.06543223007431,94.48809448814173,48.657623338296666
group3,07,predictions,endo-mem,9.91640394501839,9.797958971132712,3.801303861198047
group3,07,predictions,endo-lum,30.74393110858239,20.396078054371138,27.342895542971057
group3,07,predictions,vesicle-mem,5.881517612728676,4.0,2.8977610087523256
group3,07,predictions,vesicle-lum,11.238096131740006,9.797958971132712,6.880471136928944
group3,07,predictions,vesicle,8.969501141519913,6.928203230275509,6.007649783301169
group3,07,predictions,endo,34.270914736045704,23.664319132398465,28.64477133832581
group3,07,i1,endo-mem,18.64409485588198,18.33030277982336,4.1299815632060035
group3,07,i1,endo-lum,68.43030557039184,57.82732917920384,43.778602906364334
group3,07,i1,vesicle-mem,16.118763076087237,16.492422502470642,3.524182290231285
group3,07,i1,vesicle-lum,23.922662619690414,33.94112549695428,16.891009833176554
group3,07,i1,vesicle,16.406287344966472,11.313708498984761,17.402118708777763
group3,07,i1,endo,70.46859978243015,61.70899448216605,40.41966736789834
group3,07,d1,endo-mem,17.139870302080066,16.492422502470642,4.480624454421308
group3,07,d1,endo-lum,57.19062986666545,45.43126676640219,37.775874431931335
group3,07,d1,vesicle-mem,12.490510539777627,12.649110640673518,2.551146218350654
group3,07,d1,vesicle-lum,28.59402625837266,18.717797887081346,22.793817866336695
group3,07,d1,vesicle,16.38270535456441,6.928203230275509,20.360990354805672
group3,07,d1,endo,89.01047520757233,79.39773296511683,44.661042722991425
group3,07,refinements,endo-mem,8.489066013078682,8.0,3.3568619432451
group3,07,refinements,endo-lum,39.13592387321123,32.7414110874898,29.66361426497632
group3,07,refinements,vesicle-mem,4.0,4.0,0.0
group3,07,refinements,vesicle-lum,13.622714807726792,12.649110640673518,6.983299281396153
group3,07,refinements,vesicle,13.724753308426058,12.649110640673518,6.936782503502386
